61,CHRISTIAN,NEESON,2006-02-15 04:34:33,4784.0
62,JAYNE,NEESON,,5555.0
63,CAMERON,WRAY,,
64,RAY,JOHANSSON,2006-02-15 04:34:33,1234.0
65,ANGELA,HUDSON,2006-02-15 04:34:33,8976.0
66,MARY,TANDY,2006-02-15 04:34:33,2356.0
67,JESSICA,BAILEY,,
68,RIP,WINSLET,2006-02-15 04:34:33,
69,KENNETH,PALTROW,2006-02-15 04:34:33,
70,MICHELLE,MCCONAUGHEY,2006-02-15 04:34:33,
71,ADAM,GRANT,2006-02-15 04:34:33,
72,SEAN,WILLIAMS,2006-02-15 04:34:33,
73,GARY,PENN,2006-02-15 04:34:33,
74,MILLA,KEITEL,2006-02-15 04:34:33,
75,BURT,POSEY,2006-02-15 04:34:33,
76,ANGELINA,ASTAIRE,2006-02-15 04:34:33,
77,CARY,MCCONAUGHEY,2006-02-15 04:34:33,
78,GROUCHO,SINATRA,2006-02-15 04:34:33,
79,MAE,HOFFMAN,2006-02-15 04:34:33,
80,RALPH,CRUZ,2006-02-15 04:34:33,
81,SCARLETT,DAMON,2006-02-15 04:34:33,
82,WOODY,JOLIE,2006-02-15 04:34:33,
83,BEN,WILLIS,2006-02-15 04:34:33,
84,JAMES,PITT,2006-02-15 04:34:33,
85,MINNIE,ZELLWEGER,2006-02-15 04:34:33,
86,GREG,CHAPLIN,2006-02-15 04:34:33,
87,SPENCER,PECK,2006-02-15 04:34:33,
88,KENNETH,PESCI,2006-02-15 04:34:33,
89,CHARLIZE,DENCH,2006-02-15 04:34:33,
90,SEAN,GUINESS,2006-02-15 04:34:33,
91,CHRISTOPHER,BERRY,2006-02-15 04:34:33,
92,KIRSTEN,AKROYD,2006-02-15 04:34:33,
93,ELLEN,PRESLEY,2006-02-15 04:34:33,
94,KENNETH,TORN,2006-02-15 04:34:33,
95,DARYL,WAHLBERG,2006-02-15 04:34:33,
96,GENE,WILLIS,2006-02-15 04:34:33,
97,MEG,HAWKE,2006-02-15 04:34:33,
98,CHRIS,BRIDGES,2006-02-15 04:34:33,
99,JIM,MOSTEL,2006-02-15 04:34:33,
100,SPENCER,DEPP,2006-02-15 04:34:33,
101,SUSAN,DAVIS,2006-02-15 04:34:33,
102,WALTER,TORN,2006-02-15 04:34:33,
103,MATTHEW,LEIGH,2006-02-15 04:34:33,
104,PENELOPE,CRONYN,2006-02-15 04:34:33,
105,SIDNEY,CROWE,2006-02-15 04:34:33,
106,GROUCHO,DUNST,2006-02-15 04:34:33,
107,GINA,DEGENERES,2006-02-15 04:34:33,
108,WARREN,NOLTE,2006-02-15 04:34:33,
109,SYLVESTER,DERN,2006-02-15 04:34:33,
110,SUSAN,DAVIS,2006-02-15 04:34:33,
